mfn;numero_control;titulo;autores;responsabilidad;lugar;editorial;anio;isbn;descripcion_fisica;coleccion;idioma;temas;inventarios;ubicaciones;signaturas
11;BNM000011;Administración Pública;Collazo, Oscar Juan;Oscar Juan Collazo;Buenos Aires;Macchi;1981;;552 p.;;español;GESTION ADMINISTRATIVA | PLANES DE CORTO PLAZO | PLANES DE MEDIANO PLAZO | PLANES DE LARGO PLAZO | ORGANIZACION | SECTOR PUBLICO | ADMINISTRACION PUBLICA | PRESUPUESTO | PROCEDIMIENTOS ADMINISTRATIVOS | CENTRALIZACION | ADMINISTRACION DE PERSONAL | PLANEAMIENTO | CONTROL DE RECAUDACION | HACIENDA CENTRAL | ADMINISTRACION Y ORGANIZACION;1979;KAMSHEN;351 COL
12;BNM000012;El registro y control de los hechos públicos (ensayo);Ricciuti, Claudio Alberto;Claudio Alberto Ricciuti;Buenos Aires;el autor;2004;;348 p.;;español;ADMINISTRACION FINANCIERA | PRESUPUESTO | DEUDA PUBLICA | TIERRA DEL FUEGO | ORGANIZACION DE HACIENDA | CREDITO PUBLICO | GASTO PUBLICO | DEFICIT FISCAL | FONDO PUBLICO | TESORERIA | ADMINISTRACION Y ORGANIZACION;001928 | 001929;KAMSHEN;(828.9)351.9 RIC | (828.9)351.9 RIC
13;BNM000013;Régimen jurídico de la gestión y del control en la hacienda pública: Tratado sobre la Ley 24.156 y las de contabilidad y de obras públicas;Atchabahian, Adolfo;Adolfo Atchabahian;Buenos Aires;Depalma;1999;987-43-0428-6;803 p.;;español;CONTABILIDAD PUBLICA | HACIENDA PUBLICA | ORGANIZACION | CONTROL ADMINISTRATIVO | PRESUPUESTO | CENTRALIZACION | CONTABILIDAD FINANCIERA | DESCENTRALIZACION | PRIVATIZACION | CONTABILIDAD NACIONAL | TESORERIA | PATRIMONIO | ADMINISTRACION MILITAR | CONTROL PARLAMENTARIO | CONTROL ULTERIOR | CONTROL CONCOMITANTE | HACIENDAS PARAESTATALES | FISCALIZACION | ADMINISTRACION Y ORGANIZACION;1920;KAMSHEN;351.9 ATC
14;BNM000014;Control Judicial de la Administración Pública;Mairal, Héctor A;Héctor A. Mairal;Buenos Aires;Depalma;1984;950-14-0220-7;561 p.;;español;ADMINISTRACION PUBLICA | DERECHO NACIONAL | PROCEDIMIENTO ADMINISTRATIVO | LEGISLACION PROVINCIAL | ADMINISTRACION Y ORGANIZACION;339;KAMSHEN;35:347 MAI
15;BNM000015;Control Judicial de la Administración Pública;Mairal, Héctor A;Héctor A. Mairal;Buenos Aires;Depalma;1984;950-14-0221-5;566 -1010 p.;;español;ADMINISTRACION PUBLICA | DERECHO NACIONAL | PROCEDIMIENTO ADMINISTRATIVO | ADMINISTRACION Y ORGANIZACION;340;KAMSHEN;35:347 MAI
16;BNM000016;Gestión de la Prevención en las empresas: ley de prevención de riesgos laborales. novedades normativas.;Gómez-Hortigüela Amillo, Javier;Javier Gómez-Hortigüela Amillo;Buenos Aires;Santillana Profesional;;84-8036-365-7;111 p.;Biblioteca Cinco días;español;SEGURIDAD LABORAL | PREVENCION DE RIESGOS | RIESGOS LABORALES | ADMINISTRACION Y ORGANIZACION;1360;KAMSHEN;331.4(460) GOM
17;BNM000017;Gestión de la Prevención en las empresas: derechos, obligaciones y responsabilidades;Gónzalez Ortega, Santiago;Santiago Gónzalez Ortega;Buenos Aires;Santillana Profesional;;84-8036-366-5;79 p.;Biblioteca Cinco días;español;CONVENIOS COLECTIVOS | RESPONSABILIDAD ADMINISTRATIVA | DERECHO EMPRESARIAL | CONTRATO DE TRABAJO | RIESGOS | TRABAJADORES | SERVICIOS DE PREVENCION | SALUD LABORAL | SEGURIDAD SOCIAL | INFRACCIONES | SANCIONES | ADMINISTRACION Y ORGANIZACION;1361;KAMSHEN;349.24(460) GON
18;BNM000018;Gestión de la Prevención en las empresas: cómo gestionar la prevención;Niederleytner Molina, José Antonio | Grau Ríos, Mario | Yanes Coloma, José;José Antonio Niederleytner Molina , Mario Grau Ríos, José Yanes Coloma;Buenos Aires;Santillana Profesional;;84-8036-367-3;95 p.;Biblioteca Cinco días;español;PREVENCION DE RIESGOS | SEGURIDAD LABORAL | RIESGOS LABORALES | ADMINISTRACION Y ORGANIZACION;1362;KAMSHEN;331.4(460) NIE
19;BNM000019;Gestión de la Prevención en las empresas: preguntas y sus respuestas;Niederleytner Molina, José Antonio | Grau Ríos, Mario | Yanes Coloma, José;José Antonio Niederleytner Molina , Mario Grau Ríos, José Yanes Coloma;Buenos Aires;Santillana Profesional;;84-8036-368-1;73 p.;Biblioteca Cinco días;español;ADMINISTRACION PUBLICA | RIESGOS LABORALES | SEGURIDAD LABORAL | HIEGIENE LABORAL | SANCIONES | ADMINISTRACION Y ORGANIZACION;1363;KAMSHEN;349.24(460) NIE
20;BNM000020;Desarrollo, integración y derecho del trabajo: estudio esquemático para América Latina;Nápoli, Rodolfo A;Rodolfo A. Nápoli;Buenos Aires;Depalma;1972;;315 p.;;español;DERECHO | DERECHO DEL TRABAJO | ECONOMIA | POLITICA NACIONAL | SINDICALISMO | SEGURIDAD SOCIAL | MIGRACIONES | PLANEAMIENTO | DERECHO SINDICAL;461;KAMSHEN;349.2 NAP
21;BNM000021;Economía del trabajo y los salarios;Hamermesh, Daniel S | Rees, Albert;Daniel S. Hamermesh , Albert Rees;Madrid;Alianza;1984;84-206-8085-0;450 p. gráf.;;español;ACTIVIDAD ECONOMICA | SINDICATOS | MACROECONOMIA | SEGURIDAD SOCIAL | DEMANDA DE TRABAJO | SALARIO | OFERTA DE TRABAJO | DESEMPLEO | HUELGAS | DISCRIMINACION SALARIAL | ECONOMIA;277;KAMSHEN;331 HAM
22;BNM000022;Manual de riesgos del trabajo;De Diego, Julián Arturo;Julián arturo De Diego;Buenos Aires;Abeledo Perrot;2003;950-20-1519-3;864 p.;;español;DERECHO | LEGISLACION DEL TRABAJO | SEGURIDAD SOCIAL | DERECHO LABORAL | RIESGO LABORAL | ACCIDENTE LABORAL | ART | CODIGO CIVIL | PRESTACIONES | RESPONSABILIDAD CIVIL | ASEGURADORAS;1330;KAMSHEN;349.2(075) DIE
23;BNM000023;Compendio de legislación del trabajo;Grisolia, Julio Armando;Julio Armando Grisolia;Buenos Aires;Abeledo Perrot;2004;950-20-1584-3;832 p.;;español;LEGISLACION DEL TRABAJO | LEGISLACION LABORAL | SEGURIDAD SOCIAL | DERECHO LABORAL | DERECHO;001328 | 006323;KAMSHEN;349.2 COM | 349.2 COM
24;BNM000024;Respuestas a las preguntas más frecuentes sobre el sistema de riesgos del trabajo;Ministerio de Trabajo, Empleo y Seguridad Social;Ministerio de Trabajo, Empleo y Seguridad Social;Buenos Aires;el ministerio;;;16 p.;;español;RIESGO LABORAL | LEYES | ART | ENFERMEDAD PROFESIONAL | COMISION MEDICA | ALTA MEDICA | PRESTACIONES MEDICAS | EXAMENES MEDICOS | MONOTRIBUTISTA | AUTONOMO | TOXICOLOGIA LABORAL | DERECHO;002110 | 002111 | 002112 | 002113;KAMSHEN;331.461 RES | 331.461 RES | 331.461 RES | 331.461 RES
25;BNM000025;Los beneficios directos e inderectos en la evaluación social de proyectos;Frediani, Ramón;Ramón Frediani;Córdoba;CIPEAP;1981;;20 p.;Cuadernos de Administración Pública;español;ADMINISTRACION PUBLICA | PROYECTOS | BENEFICIO SOCIAL | ADMINISTRACION Y ORGANIZACION;435;KAMSHEN;351 FRE
26;BNM000026;El régimen jurídico-institucional municipal en la provincia de Mendoza;Cuoghi de Cataños, Leonora | Narrillos, Hilda;Leonora Cuoghi de Cataños , Hilda Narrillos;Córdoba;CIPEAP;1984;;55 p.;Cuadernos de Administración Pública;español;ADMINISTRACION PUBLICA PROVINCIAL | ADMINISTRACION Y ORGANIZACION;407;KAMSHEN;351 CUO
27;BNM000027;Aspectos históricos sobre organismos y planes nacionales en Argentina: Período 1810 - 1980;Donolo, Dante;Dante Donolo;Córdoba;CIPEAP;1980;;121 p.;Cuadernos de Administración Pública;español;ADMINISTRACION | ADMINISTRACION Y ORGANIZACION;433;KAMSHEN;
28;BNM000028;El ausentismo de personal en las administraciones públicas provinciales: medición, control y estudio de sus causas;Bianchi, Raúl Carlos;Raúl Carlos Bianchi;Córdoba;CIPEAP;1984;;54 p.;Cuadernos de Administración Pública;español;ADMINISTRACION | ADMINISTRACION Y ORGANIZACION;408;KAMSHEN;
29;BNM000029;El sistema político-jurídico de los municipios de la provincia de Córdoba;Cordeiro Pinto, Luis;Luis Cordeiro Pinto;Córdoba;CIPEAP;1984;;40 p.;Cuadernos de Administración Pública;español;ADMINISTRACION | ADMINISTRACION Y ORGANIZACION;434;KAMSHEN;
30;BNM000030;Organización y funcionamiento de las direcciones de personal en las administraciones públicas provinciales de la República Argentina;Bianchi, Raúl Carlos | Carreño, Luis;Raúl Carlos Bianchi , Luis Carreño;Córdoba;CIPEAP;1981;;39 p.;Cuadernos de Administración Pública;español;ADMINISTRACION | ADMINISTRACION Y ORGANIZACION;406;KAMSHEN;351 BIA
31;BNM000031;El progreso tecnológico y la realidad latinoamericana;Vacchino, Juan Mario;Juan Mario Vacchino;La Plata;Universidad Nacional de La Plata;1972;;21 p.;;español;TECNOLOGIA | SOCIOLOGIA;492;KAMSHEN;364.12 VAC
32;BNM000032;Marginalidad en América Latina;Campos, Jaime;Jaime Campos;La Plata;Universidad Nacional de La Plata;1971;;7 p.;;español;MARGINALIDAD | SOCIOLOGIA;487;KAMSHEN;CAM
33;BNM000033;Situación de la seguridad social en la Argentina;Frediani, Ramón;Ramón Frediani;Córdoba;CIPEAP;1990;;;Ediciones Especiales;español;ARGENTINA | ADMINISTRACION | SEGURIDAD SOCIAL | ADMINISTRACION Y ORGANIZACION;405;KAMSHEN;351.84 FRE
34;BNM000034;Manual de seguridad social;Giorgi, Alicia Haydée;Alicia Haydée Giorgi;Buenos Aires;Macchi;1999;950-537-493-3;226 p.;;español;SEGURIDAD SOCIAL | SITEMA DE SEGURIDAD SOCIAL | ASISTENCIA SOCIAL | CONTINGENCIAS | ORGANISMOS | ORGANIZACION ADMINISTRATIVA | ADMINISTRACION Y ORGANIZACION;2236;KAMSHEN;364.3 GIO
35;BNM000035;Política y Seguridad Social en la Argentina de los '90;Alonso, Guillermo V;Guillermo V. Alonso;Buenos Aires;Miño y Dávila Editores;2000;84-95294-14-1;243 p.;;español;SEGURIDAD SOCIAL | POLITICAS PUBLICAS | SISTEMA PREVISIONAL ARGENTINO | OBRAS SOCIALES | EVOLUCION HISTORICA | REFORMA PREVISIONAL | ADMINISTRACION Y ORGANIZACION;2247;KAMSHEN;364.3 ALO
36;BNM000036;La suspensión de la relación de trabajo;López, Guillermo A | Goyena, Juan Carlos;Guillermo A. López , con prólogo de Juan Carlos Goyena;Buenos Aires;Depalma;1973;;186 p.;;español;DERECHO | DERECHO LABORAL | SINDICATOS | HUELGA | RELACIONES LABORALES | SERVICIO MILITAR | MATERNIDAD | DERECHO DE HUELGA;462;KAMSHEN;349.22 LOP
37;BNM000037;Código del trabajo: anotado;Krotoschin, Ernesto | Ratti, Jorge;Ernesto Krotoschin , Jorge Ratti;Buenos Aires;Depalma;1967;;1145 p.;;español;SALARIO | CODIGO CIVIL | ACCIDENTE LABORAL | CODIGO DE COMERCIO | LEGISLACION | ADMINISTRACION Y ORGANIZACION;653;KAMSHEN;351.83 KRO
38;BNM000038;Legislación del trabajo y de la seguridad social;Abad, Antolin | Silvano, Francisco;Antolin Abad , Francisco Silvano;Buenos Aires;Zavalía;1981;;1574 p.;;español;LEGISLACION LABORAL | CONSTITUCION NACIONAL | CODIGO DE COMERCIO | LEYES | DECRETOS | DERECHO;844;KAMSHEN;349.2 ABA
39;BNM000039;Teoría y evaluación de la educación superior;Pérez Lindo, Augusto;Augusto Pérez Lindo;Buenos Aires;Aique;1993;950-701-156-0;151 p.;Cuadernos;español;EDUCACION | EDUCACION SUPERIOR | TEORIAS | EVALUACION | POLITICAS DE EVALUACION | CALIDAD | RENDIMIENTO;423;KAMSHEN;378.1 PER
40;BNM000040;Pedagogía crítica, resistencia cultural y la producción del deseo;McLaren, Peter | Puiggrós, Adriana;Peter McLaren;Buenos Aires;Aique;1994;950-701-212-5;171 p.;Cuadernos;español;EDUCACION | PEDAGOGIA | PEDAGOGIA CRITICA | MEDIOS DE COMUNICACION | PEDAGOGIA PRACTICA | RESITENCIA CULTURAL | ANSIEDAD MARGINAL | POLITICA DE LA SEXUALIDAD;424;KAMSHEN;37.013 MCL
41;BNM000041;De educación y estadística;Santaló, Luis A | Palacios, Alfredo R | Giordano, Emilio H;Luis A. Santaló , Alfredo R. Palacios, Emilio H. Giordano;Buenos Aires;Kapelusz;1997;950-13-6981-1;111 p. gráf., tablas.;Eureka;español;EDUCACION | MATEMATICA | ESTADISTICA | PROMEDIO;1144;KAMSHEN;37+31 SAN
42;BNM000042;Estrategia competitiva: la dirección superior y el conflicto en el mercado;Levy, Alberto R;Alberto R. Levy;Buenos Aires;Macchi;1983;950-537-025-5;242 p. cuadros, gráf.;;español;MERCADO | ESTRATEGIA | EMPRESA | CONSUMIDOR | PRODUCTO | COMPETITIVIDAD | ADMINISTRACION Y ORGANIZACION;151;KAMSHEN;658 LEV
43;BNM000043;Tecnología: estrategia didáctica;Doval, Luis;Luis Doval;Buenos Aires;CONICET;1998;950-687-042-X;224 p. cuadros, il., fot.;;español;TECNOLOGIA | DIDACTICA | EDUCACION TECNOLOGIA;1238;KAMSHEN;372.86 DOV
44;BNM000044;Materiales: introducción a su estudio desde el punto de vista funcional;Ferré, Omar | Vinué, Ricardo L;Omar Ferré , Ricardo L. Vinué;Buenos Aires;CONICET;1996;950-687-028-4;151 p.;;español;MATERIALES | MATERIALES CALCAREOS | MATERIALES SILICICOS | METALES | ALEACIONES | POLIMEROS SINTETICOS | EDUCACION;1228;KAMSHEN;372.86 FER
45;BNM000045;Tecnología;Doval, Luis | Gay, Aquiles;Finalidad educativa y acercamiento didáctico;Buenos Aires;CONICET;1995;950-687-018-7;256 p. il.;;español;TECNOLOGIA | DIDACTICA | EDUCACION TECNOLOGICA | TECNOLOGIAS ESPECIFICAS;1237;KAMSHEN;372.86 DOV
46;BNM000046;Tecnología: procesos productivos: un eje temático para organizar contenidos en el área de tecnología;Cwi, Mario Eduardo | Serafini, Gabriel David;Mario Eduardo Cwi , Gabriel David Serafini;Buenos Aires;PROCIENCIA;2000;987-97798-2-7;184 p.;;español;TECNOLOGIA | PROCESOS PRODUCTIVOS | ENFOQUE SISTEMICO;1236;KAMSHEN;372.86 CWI
47;BNM000047;La historia patria y la acción de sus armas;Círculo Militar Argentino;, Círculo Militar Argentino;Buenos Aires;Círculo Militar Argentino;1960;;391 p. il.;;español;HISTORIA | REVOLUCION DE MAYO | HISTORIA DEL EJERCITO | INDEPENDENCIAS DEL RIO DE LA PLATA | HISTORIA POLITICA | FUERZAS ARMADAS;974;KAMSHEN;94(82) HIS
48;BNM000048;El diario, un texto social;Morduchowicz, Roxana;Roxana Morduchowicz;Buenos Aires;Aique;1992;950-701-132-3;64 p.;Didáctica;español;MEDIOS DE ENSENANZA | PERIODICOS | ESCUELA | PERIODISMO;1139;KAMSHEN;070 MOR
49;BNM000049;Lectura y medios de comunicación de masas;Sandroni, Laura Constancia | Machado, Luiz Raúl;Laura Constancia Sandroni;Buenos Aires;Aique;1992;950-701-099-8;135 p. il.;Coedición Latinoamerica de libros pra la promoción de la lectura;español;EDUCACION | TELEVISION | MEDIOS DE ENSENANZA | LECTURA | MEDIOS DE COMUNICACION | PROMOCION DE LA LECTURA;1136;KAMSHEN;37.02 SAN
50;BNM000050;La comunicaión oral y su didáctica;Reyzábal, María Victoria;María Victoria Reyzábal;Madrid;La Muralla;1997;84-7133-620-0;429 p. gráf.;Aula Abierta;español;COMUNICACION | EDUCACION | LITERATURA | DIDACTICA | COMUNICACION ORAL | MEDIOS DE COMUNICACION;001127 | 001134 | 001140;KAMSHEN;007:37.02 REY | 007:37.02 REY | 007:37.02 REY
51;BNM000051;El perfecto garçon: servir es un arte, pero también un  negocio;Migoya, Ricardo | Vola-Luhrs, Roberto;Ricardo Migoya , Roberto Vola-Luhrs;Buenos Aires;Macchi;2007;978-987-1420-04-9;168 p. il., fot.;;español;SERVICIO GASTRONOMICO | PERSONAL | EMPRENDIMIENTOS GASTRONOMICOS | ARMADO DE MESAS | CEREMONIAL | PROTOCOLO | RELACIONES PUBLICAS | EVENTOS Y BANQUETES | VINIFICACION | CLIENTE | MENUS | CULTURA;002504 | 002505;KAMSHEN;642.6 MIG | 642.6 MIG
52;BNM000052;Educación ambiental;Secretaría de Ambiente y Desarrollo Sustentable;Secretaría de Ambiente y Desarrollo Sustentable;Argentina;Secretaría de Ambiente y Desarrollo Sustentable;;;60 p.;Aportes para el Aula;español;EDUCACION AMBIENTAL | DIDACTICA | ECOLOGIA | DESARROLLO SUSTENTABLE | EDUCACION;002190 | 002003 | 002004;KAMSHEN;37:502 EDU | 37:502 EDU | 37:502 EDU
53;BNM000053;Educación Ambiental;Secretaría de Ambiente y Desarrollo Sustentable;Secretaría de Ambiente y Desarrollo Sustentable;Argentina;Secretaría de Ambiente y Desarrollo Sustentable;;;76 p. il.;Aportes para el Aula;español;EDUCACION AMBIENTAL | BIODIVERSIDAD | ECOSISTEMA | EDUCACION;002005 | 002006 | 003274 | 003275;KAMSHEN;37:502 EDU | 37:502 EDU | 37:502 EDU | 37:502 EDU
54;BNM000054;Curso de Formación de Profesores de Ciencias. VI El cuerpo humano y la salud: Del medio ambiente a la célula y de ésta al medio ambiente. Funciones nutricionales;Gutiérrez Martín, Antonio;Antonio Gutiérrez Martín;España;Ministerio de Educación y Cultura;2080;84-369-3008-8;85 p.;;español;SALUD | DIDACTICA | ALIMENTACION | CUERPO HUMANO | FUNCIONES NUTRICIONALES | EDUCACION;1257;KAMSHEN;37.018.43+502 GUT
55;BNM000055;Curso de Formación de Profesores de Ciencias. VI El cuerpo humano y la salud: La interrelación organismo-medio ambiente es coordenada y regulada. Las funciones de relación;Gutiérrez Martín, Antonio;Antonio Gutiérrez Martín;España;Ministerio de Educación y Cultura;;84-369-3009-6;51 p.;;español;DIDACTICA | AMBIENTE | FUNCIONES DE RELACIONES | EDUCACION;1258;KAMSHEN;37.018.43+502 CUR
56;BNM000056;Curso de Formación de Profesores de Ciencias. VI El cuerpo humano y la salud: La sexualidad y la responsabilidad humana;Gutiérrez Martín, Antonio;3;España;Ministerio de Educación y Cultura;2180;84-369-3010-X;86 p.;;español;EDUCACION SEXUAL | DIDACTICA | EDUCACION;1259;KAMSHEN;37.018.43+502 GUT
57;BNM000057;Curso de Formación de Profesores de Ciencias. VI El cuerpo humano y la salud: Hacia una sociedad saludable;Gutiérrez Martín, Antonio;Antonio Gutiérrez Martín;España;Ministerio de Educación y Cultura;2180;84-369-3011-8;89 p.;;español;SALUD | DIDACTICA | EDUCACION;1260;KAMSHEN;37.018.43+502 GUT
58;BNM000058;Curso de Formación de Profesores de Ciencias. V Estudio de algunos materiales: La Tierra como medio físico de la Biosfera.: La Tierra en el universo. El sistema solar;Gutiérrez Martín, Antonio;Antonio Gutiérrez Martín;España;Ministerio de Educación y Cultura;2180;84-369-2991-8;88 p.;;español;DIDACTICA | SISTEMA SOLAR | SISTEMA MATERIALES | UNIVERSO | EDUCACION;1253;KAMSHEN;37.018.43+502 GUT
59;BNM000059;Curso de Formación de Profesores de Ciencias. V Estudio de algunos materiales: La Tierra como medio físico de la Biosfera.: La atmósfera y el aire;Gutiérrez Martín, Antonio;Antonio Gutiérrez Martín;España;Ministerio de Educación y Cultura;;84-369-2992-6;94 p.;;español;DIDACTICA | ATMOSFERA | AIRE | EDUCACION;1254;KAMSHEN;37.018.43+502 CUR
60;BNM000060;Curso de Formación de Profesores de Ciencias. V Estudio de algunos materiales: La Tierra como medio físico de la Biosfera.: La hidrosfera;Gutiérrez Martín, Antonio;Antonio Gutiérrez Martín;España;Ministerio de Educación y Cultura;2180;84-369-2993-4;99 p.;;español;DIDACTICA | AGUA | HIDROSFERA | EDUCACION;1255;KAMSHEN;37.018.43+502 GUT
61;BNM000061;Curso de Formación de Profesores de Ciencias. V Estudio de algunos materiales: La Tierra como medio físico de la Biosfera.: La litosfera. Rocas y minerales. Suelos;Gutiérrez Martín, Antonio;Antonio Gutiérrez Martín;España;Ministerio de Educación y Cultura;2180;84-369-2994-2;100 p.;;español;DIDACTICA | LITOSFERA | SUELO | ROCA | MINERALES | EDUCACION;1256;KAMSHEN;37.018.43+502 GUT
62;BNM000062;Curso de Formación de Profesores de Ciencias. IV Propiedades y estructura de la materia.: Aire, agua, tierra: Un modelo para la materia;Gutiérrez Martín, Antonio;Antonio Gutiérrez Martín;España;Ministerio de Educación y Cultura;2180;84-369-2986-1;108 p.;;español;DIDACTICA | MATERIA | PROPIEDADES DE LA MATERIA | AGUA | AIRE | TIERRA | EDUCACION;1248;KAMSHEN;37.018.43+502 CUR
63;BNM000063;Curso de Formación de Profesores de Ciencias. IV Propiedades y estructura de la materia.: Los materiales en la vida cotidiana: sus propiedades y uso;Gutiérrez Martín, Antonio;Antonio Gutiérrez Martín;España;Ministerio de Educación y Cultura;2180;84-369-2987-X;99 p.;;español;DIDACTICA | MATERIALES EN LO COTIDIANO | EDUCACION;1249;KAMSHEN;37.018.43+502 GUT
64;BNM000064;Curso de Formación de Profesores de Ciencias. IV Propiedades y estructura de la materia.: Combustiones y corrosiones;Gutiérrez Martín, Antonio;Antonio Gutiérrez Martín;España;Ministerio de Educación y Cultura;2180;84-369-2988-8;86 p.;;español;QUIMICA | COMBUSTION | CORROSION | EDUCACION;1250;KAMSHEN;37.018.43+502 GUT
65;BNM000065;Curso de Formación de Profesores de Ciencias. IV Propiedades y estructura de la materia.: Naturaleza eléctrica de la materia;Gutiérrez Martín, Antonio;Antonio Gutiérrez Martín;España;Ministerio de Educación y Cultura;2180;84-369-2989-6;76 p.;;español;DIDACTICA | MATERIA | CAMBIOS QUIMICOS | CORRIENTE ELECTRICA | EDUCACION;1251;KAMSHEN;37.018.43+502 GUT
